plant_variety,repeat,fungusID,condition,experimental_replication,EVALUATION,DS,SBSX
NK28P6XF,3,HS05,inplanta,1,14DAI,3.1875,1.801630435
NK008PXF,1,HS05,inplanta,1,14DAI,5.222222222,3.133333333
NK008PXF,2,HS05,inplanta,1,14DAI,12.28,8.725263158
NK008PXF,3,HS05,inplanta,1,14DAI,10.9375,6.608072917
S-26-E-3,1,HS05,inplanta,1,14DAI,9.166666667,5.392156863
S-26-E-3,2,HS05,inplanta,1,14DAI,3.916666667,2.9375
S-26-E-3,3,HS05,inplanta,1,14DAI,8.88,4.820571429
William82,1,HS05,inplanta,1,14DAI,16.5625,11.75403226
William82,2,HS05,inplanta,1,14DAI,21.11111111,14.44444444
William82,3,HS05,inplanta,1,14DAI,9.84,6.024489796
NK28P6xF,1,HS03,inplanta,1,21DAI,12.04,10.43466667
NK28P6xF,2,HS03,inplanta,1,21DAI,12.83333333,10.26666667
NK28P6xF,3,HS03,inplanta,1,21DAI,16.08,13.4
NK008-PXF,1,HS03,inplanta,1,21DAI,14.02777778,8.092948718
NK008-PXF,2,HS03,inplanta,1,21DAI,11.27777778,7
NK008-PXF,3,HS03,inplanta,1,21DAI,,
S-26-E-3,1,HS03,inplanta,1,21DAI,9.081632653,6.81122449
S-26-E-3,2,HS03,inplanta,1,21DAI,9.861111111,7.231481481
S-26-E-3,3,HS03,inplanta,1,21DAI,13.33333333,10.52631579
William82,1,HS03,inplanta,1,21DAI,11.38888889,6.605555556
William82,2,HS03,inplanta,1,21DAI,12.08,6.543333333
William82,3,HS03,inplanta,1,21DAI,5.694444444,3.231981982
NK28P6XF,1,HS08,inplanta,1,21DAI,16.5625,11.04166667
NK28P6XF,2,HS08,inplanta,1,21DAI,10.41666667,8.20035461
NK28P6XF,3,HS08,inplanta,1,21DAI,15.625,13.22115385
NK008PXF,1,HS08,inplanta,1,21DAI,16.08,9.045
NK008PXF,2,HS08,inplanta,1,21DAI,,
NK008PXF,3,HS08,inplanta,1,21DAI,9.795918367,6.397334444
S-26-E-3,1,HS08,inplanta,1,21DAI,,
S-26-E-3,2,HS08,inplanta,1,21DAI,11.44444444,6.408888889
S-26-E-3,3,HS08,inplanta,1,21DAI,5.96875,3.979166667
William82,1,HS08,inplanta,1,21DAI,17.2,10.64761905
William82,2,HS08,inplanta,1,21DAI,19.2,12.52173913
William82,3,HS08,inplanta,1,21DAI,20,16.66666667
NK28P6XF,1,HS02,inplanta,1,21DAI,21.25,18.88888889
NK28P6XF,2,HS02,inplanta,1,21DAI,12.6875,11.84166667
NK28P6XF,3,HS02,inplanta,1,21DAI,13.06122449,11.19533528
NK008PXF,1,HS02,inplanta,1,21DAI,8.472222222,4.94212963
NK008PXF,2,HS02,inplanta,1,21DAI,12.08333333,6.766666667
NK008PXF,3,HS02,inplanta,1,21DAI,,
S-26-E-3,1,HS02,inplanta,1,21DAI,14.48,8.688
S-26-E-3,2,HS02,inplanta,1,21DAI,12.30555556,6.420289855
S-26-E-3,3,HS02,inplanta,1,21DAI,12.25,6.447368421
William82,1,HS02,inplanta,1,21DAI,,
William82,2,HS02,inplanta,1,21DAI,6.306122449,4.992346939
William82,3,HS02,inplanta,1,21DAI,9.448979592,6.400921659
NK28P6XF,1,HS10,inplanta,1,21DAI,10.61111111,8.603603604
NK28P6XF,2,HS10,inplanta,1,21DAI,9.055555556,6.037037037
NK28P6XF,3,HS10,inplanta,1,21DAI,8.972222222,5.126984127
NK008PXF,1,HS10,inplanta,1,21DAI,13.47222222,9.466966967
